Date,Year,Month,Day,Quarter,Weekday,WeekOfYear,IsWeekend,IsHoliday,MonthName,DayName
2001-01-10,2001,1,10,1,2,2,0,0,January,Wednesday
2001-01-11,2001,1,11,1,3,2,0,0,January,Thursday
2001-01-12,2001,1,12,1,4,2,0,0,January,Friday
2001-01-13,2001,1,13,1,5,2,1,0,January,Saturday
2001-01-14,2001,1,14,1,6,2,1,0,January,Sunday
2001-01-15,2001,1,15,1,0,3,0,0,January,Monday
2001-01-16,2001,1,16,1,1,3,0,0,January,Tuesday
2001-01-17,2001,1,17,1,2,3,0,0,January,Wednesday
2001-01-18,2001,1,18,1,3,3,0,0,January,Thursday
2001-01-19,2001,1,19,1,4,3,0,0,January,Friday
2001-01-20,2001,1,20,1,5,3,1,0,January,Saturday
2001-01-21,2001,1,21,1,6,3,1,0,January,Sunday
2001-01-22,2001,1,22,1,0,4,0,0,January,Monday
2001-01-23,2001,1,23,1,1,4,0,0,January,Tuesday
2001-01-24,2001,1,24,1,2,4,0,0,January,Wednesday
2001-01-25,2001,1,25,1,3,4,0,0,January,Thursday
2001-01-26,2001,1,26,1,4,4,0,0,January,Friday
2001-01-27,2001,1,27,1,5,4,1,0,January,Saturday
2001-01-28,2001,1,28,1,6,4,1,0,January,Sunday
2001-01-29,2001,1,29,1,0,5,0,0,January,Monday
2001-01-30,2001,1,30,1,1,5,0,0,January,Tuesday
2001-01-31,2001,1,31,1,2,5,0,0,January,Wednesday
2001-02-01,2001,2,1,1,3,5,0,0,February,Thursday
2001-02-02,2001,2,2,1,4,5,0,0,February,Friday
2001-02-03,2001,2,3,1,5,5,1,0,February,Saturday
2001-02-04,2001,2,4,1,6,5,1,0,February,Sunday
2001-02-05,2001,2,5,1,0,6,0,0,February,Monday
2001-02-06,2001,2,6,1,1,6,0,0,February,Tuesday
2001-02-07,2001,2,7,1,2,6,0,0,February,Wednesday
2001-02-08,2001,2,8,1,3,6,0,0,February,Thursday
2001-02-09,2001,2,9,1,4,6,0,0,February,Friday
2001-02-10,2001,2,10,1,5,6,1,0,February,Saturday
2001-02-11,2001,2,11,1,6,6,1,0,February,Sunday
2001-02-12,2001,2,12,1,0,7,0,0,February,Monday
2001-02-13,2001,2,13,1,1,7,0,0,February,Tuesday
2001-02-14,2001,2,14,1,2,7,0,0,February,Wednesday
2001-02-15,2001,2,15,1,3,7,0,0,February,Thursday
2001-02-16,2001,2,16,1,4,7,0,0,February,Friday
2001-02-17,2001,2,17,1,5,7,1,0,February,Saturday
2001-02-18,2001,2,18,1,6,7,1,0,February,Sunday
2001-02-19,2001,2,19,1,0,8,0,0,February,Monday
2001-02-20,2001,2,20,1,1,8,0,0,February,Tuesday
2001-02-21,2001,2,21,1,2,8,0,0,February,Wednesday
2001-02-22,2001,2,22,1,3,8,0,0,February,Thursday
2001-02-23,2001,2,23,1,4,8,0,0,February,Friday
2001-02-24,2001,2,24,1,5,8,1,0,February,Saturday
2001-02-25,2001,2,25,1,6,8,1,0,February,Sunday
2001-02-26,2001,2,26,1,0,9,0,0,February,Monday
2001-02-27,2001,2,27,1,1,9,0,0,February,Tuesday
2001-02-28,2001,2,28,1,2,9,0,0,February,Wednesday
2001-03-01,2001,3,1,1,3,9,0,0,March,Thursday
2001-03-02,2001,3,2,1,4,9,0,0,March,Friday
2001-03-03,2001,3,3,1,5,9,1,0,March,Saturday
2001-03-04,2001,3,4,1,6,9,1,0,March,Sunday
2001-03-05,2001,3,5,1,0,10,0,0,March,Monday
2001-03-06,2001,3,6,1,1,10,0,0,March,Tuesday
2001-03-07,2001,3,7,1,2,10,0,0,March,Wednesday
2001-03-08,2001,3,8,1,3,10,0,0,March,Thursday
2001-03-09,2001,3,9,1,4,10,0,0,March,Friday
2001-03-10,2001,3,10,1,5,10,1,0,March,Saturday
2001-03-11,2001,3,11,1,6,10,1,0,March,Sunday
2001-03-12,2001,3,12,1,0,11,0,0,March,Monday
2001-03-13,2001,3,13,1,1,11,0,0,March,Tuesday
2001-03-14,2001,3,14,1,2,11,0,0,March,Wednesday
2001-03-15,2001,3,15,1,3,11,0,0,March,Thursday
2001-03-16,2001,3,16,1,4,11,0,0,March,Friday
